200c87a0 %
b03b8ea8 APHealing3Postfix
947ad987 APHealing3Prefix
7db76fa8 APHealingNL
437f32c2 APHealth
343d3489 APHealth1
c5c54c46 APHealth1Postfix
1e9e2e7d APHealth1Prefix
313d2fd0 APHealth2
d740932d APHealth2Postfix
4e1f0e4c APHealth2Prefix
323d3163 APHealth3
d0650458 APHealth3Postfix
9b3e4477 APHealth3Prefix
fe34d385 APHealthGain
e129445c APHealthGain1
b1885d39 APHealthGain1Postfix
68d9ab58 APHealthGain1Prefix
e4294915 APHealthGain2
f1b48292 APHealthGain2Postfix
3d53dab9 APHealthGain2Prefix
e3294782 APHealthGain3
d38a25bf APHealthGain3Postfix
9db06f06 APHealthGain3Prefix
a67e6527 APHealthGainNL
1ea99478 APHealthNL
b4335e4 APIncrease
2eb59a88 APMod
6cb86b40 APModCap
e9db30d2 APMult
b8e2be06 APNL
ed4559d APOmnivamp
442ddc4 APOmnivamp1
e7bb4ce1 APOmnivamp1Postfix
ef032360 APOmnivamp1Prefix
742e27d APOmnivamp2
514f15da APOmnivamp2Postfix
bc586d61 APOmnivamp2Prefix
642e0ea APOmnivamp3
2d654987 APOmnivamp3Postfix
9046450e APOmnivamp3Prefix
5ff39f7f APOmnivampNL
31a2595c APPassiveDamage
8f92c697 APPassiveDamage1
58b64afc APPassiveDamage1Postfix
20fd3e8b APPassiveDamage1Prefix
9092c82a APPassiveDamage2
406904c7 APPassiveDamage2Postfix
5573584e APPassiveDamage2Prefix
9192c9bd APPassiveDamage3
3a527b1a APPassiveDamage3Postfix
adc624a1 APPassiveDamage3Prefix
fc7ca22e APPassiveDamageNL
b4a9e7a4 APPerGlory
c5267e1b APPerKill
85989c1e APPerKill1
99009bab APPerKill1Postfix
aaa69632 APPerKill1Prefix
84989a8b APPerKill2
ee9efb20 APPerKill2Postfix
3e3868ff APPerKill2Prefix
839898f8 APPerKill3
84c23bb5 APPerKill3Postfix
112ce634 APPerKill3Prefix
8a98a3fd APPerKill4
276dce5a APPerKill4Postfix
77f422e1 APPerKill4Prefix
8998a26a APPerKill5
3840207 APPerKill5Postfix
4be1fa8e APPerKill5Prefix
a3f7bf79 APPerKillNL
9b7d5a0d APPerManaRegen
f4e4c6d3 APPerProc
662515c6 APPerProc1
6ae4d153 APPerProc1Postfix
78f6053a APPerProc1Prefix
65251433 APPerProc2
d35bf0c8 APPerProc2Postfix
f7f37827 APPerProc2Prefix
642512a0 APPerProc3
deb9c9dd APPerProc3Postfix
d9e7e73c APPerProc3Prefix
780632f1 APPerProcNL
6a7405a1 APPerRank
7643b463 APPerSecond
e75ed4cd APPerStack
9acc0e52 APPerTick
a68d353d APPercent
e30c799f APRatio
8390ac61 APRatio.-1
1aa38cea APRatio1
1fded87 APRatio1Postfix
c441910e APRatio1Prefix
19a38b57 APRatio2
311f12bc APRatio2Postfix
9245e04b APRatio2Prefix
18a389c4 APRatio3
bc53f0e1 APRatio3Postfix
22fe6f60 APRatio3Prefix
17a38831 APRatio4
be80060e APRatio4Postfix
2cdbf285 APRatio4Prefix
16a3869e APRatio5
977a872b APRatio5Postfix
23062cb2 APRatio5Prefix
6fa35a21 APRatioActive
55e7c63a APRatioBonusHP
94fab772 APRatioCenter
781c599d APRatioNL
a45e8ced APRatioOne
3a8db3cc APRatioPer100BonusHP
e8959012 APRatioPerFury
32ce024f APRatioPerHit
fac635ad APRatioPerMine
62066494 APRatioPerMine1
c8524091 APRatioPerMine1Postfix
4c8a7f10 APRatioPerMine1Prefix
6506694d APRatioPerMine2
cb8d304a APRatioPerMine2Postfix
fe45fa51 APRatioPerMine2Prefix
640667ba APRatioPerMine3
b712d1f7 APRatioPerMine3Postfix
